raw_id,note
253,Interview with the Vampire: The Vampire Chronicles (1994)
296,Pulp Fiction (1994)
318,"Shawshank Redemption, The (1994)"
356,Forrest Gump (1994)
858,"Godfather, The (1972)"
1206,"Clockwork Orange, A (1971)"
3677,Baraka (1992)
3949,Requiem for a Dream (2000)
5956,Gangs of New York (2002)
5995,"Pianist, The (2002)"
6016,City of God (Cidade de Deus) (2002)
56782,There Will Be Blood (2007)
60904,Heart of a Dog (Sobachye serdtse) (1988)
63515,The Island (2006)
64614,Gran Torino (2008)
74458,Shutter Island (2010)
92259,Intouchables (2011)
106782,"Wolf of Wall Street, The (2013)"
112552,Whiplash (2014)
115965,Dead Man's Bluff (2005)
118166,Courier (1987)
120625,The Fool (2014)
141844,12 Chairs (1971)
170591,DMB (2000)
