raw_id,note
SOZCVZA12A58A7D7B1,Rainbow - Stargazer
SONZJUP12A6D4F79A8,Van Der Graaf Generator - A Plague Of Lighthouse Keepers
SOEMOGY12AF72A7F01,Cocteau Twins - Lorelei
SOUTSIH12A58A78A2F,Camel - Another Night
SOPOBRV12A8C1379D5,Camel - Never Let Go
SOMOTBD12A8C145B89,Jaga Jazzist - For All You Happy People
SOOEXTL12A6D4F8050,Roxy Music - In Every Dream Home A Heartache
SOJHIYJ12AB018BCAC,Xploding Plastix - More Powah To Yah
SOUHDCL12A8C13A68C,Neutral Milk Hotel - The Fool
SOOZFAG12AB017D0FA,Black Sabbath - War Pigs
SOOAMUJ12AB0186F0A,Skalpel - Flying Officer
SOEKKDE12A58A7C98B,Monster Magnet - Dopes To Infinity
SORGCPU12A8C1341DD,Eric Johnson - Cliffs Of Dover
